,strain_full,strain_short,species,gc,accession,gc_percent,genome_components,chromosomes,total_seq_length,genes_nc,genes_coding,pseudogenes,total_genes
0,Staphylococcus equorum,FDAARGOS_1149,Staphylococcus equorum,GCF_016725305.1,Staphylococcus equorum,33.0,4,4,2736015,86,2546,33,2665
0,Staphylococcus equorum,KS1030,Staphylococcus equorum,GCF_016772515.1,Staphylococcus equorum,33.0,5,5,2952351,88,2814,46,2948
0,Staphylococcus lugdunensis,MBAZ2,Staphylococcus lugdunensis,GCF_016804245.1,Staphylococcus lugdunensis,33.5,1,1,2606118,80,2400,34,2514
0,Staphylococcus pasteuri,FDAARGOS_1069,Staphylococcus pasteuri,GCF_016599795.1,Staphylococcus pasteuri,31.5,2,2,2484808,84,2315,38,2437
0,Staphylococcus pasteuri,FDAARGOS_1152,Staphylococcus pasteuri,GCF_016725205.1,Staphylococcus pasteuri,31.5,3,3,2556308,86,2378,51,2515
0,Staphylococcus pasteuri,FDAARGOS_1151,Staphylococcus pasteuri,GCF_016725285.1,Staphylococcus pasteuri,31.5,4,4,2634722,85,2498,37,2620
0,Staphylococcus pseudintermedius,HSP079,Staphylococcus pseudintermedius,GCF_016598895.1,Staphylococcus pseudintermedius,37.5,1,1,2587693,81,2158,183,2422
0,Staphylococcus pseudintermedius,HSP080,Staphylococcus pseudintermedius,GCF_016598915.1,Staphylococcus pseudintermedius,37.5,1,1,2587506,82,2175,170,2427
0,Staphylococcus pseudoxylosus,14AME19,Staphylococcus pseudoxylosus,GCF_016774515.1,Staphylococcus pseudoxylosus,32.5,5,5,3012208,86,2738,64,2888
0,Staphylococcus sp. 11_B_312,11-B-312,Staphylococcus sp. 11_B_312,GCF_016743055.1,Staphylococcus sp. 11-B-312,32.5,1,1,2721471,87,2508,48,2643
0,Staphylococcus sp. T93,T93,Staphylococcus sp. T93,GCF_016743875.1,Staphylococcus sp. T93,32.5,2,2,2703953,82,2519,56,2657
0,Stenotrophomonas maltophilia,DHHJ,Stenotrophomonas maltophilia,GCF_016659185.1,Stenotrophomonas maltophilia,66.0,1,1,4682909,92,4203,23,4318
0,Streptococcus anginosus,FDAARGOS_1155,Streptococcus anginosus,GCF_016725185.1,Streptococcus anginosus,38.0,1,1,2284041,74,2085,102,2261
0,Streptococcus constellatus,FDAARGOS_1156,Streptococcus constellatus,GCF_016725005.1,Streptococcus constellatus,38.0,1,1,1903262,74,1745,69,1888
0,Streptococcus dysgalactiae,FDAARGOS_1157,Streptococcus dysgalactiae,GCF_016724885.1,Streptococcus dysgalactiae,39.0,3,3,2151179,89,1975,107,2171
0,Streptococcus lutetiensis,FDAARGOS_1158,Streptococcus lutetiensis,GCF_016725165.1,Streptococcus lutetiensis,37.5,1,1,1793521,95,1642,84,1821
0,Streptococcus mitis,S022-V7-A3,Streptococcus mitis,GCF_016658865.1,Streptococcus mitis,40.0,1,1,2033396,74,1884,47,2005
0,Streptococcus suis,ID33329,Streptococcus suis,GCF_016774475.1,Streptococcus suis,41.0,1,1,2138155,72,1929,50,2051
0,Streptomyces koyangensis,SCSIO 5802,Streptomyces koyangensis,GCF_016803985.1,Streptomyces koyangensis,73.0,2,2,7001532,90,5837,150,6077
0,Streptomyces liliifuscus,ZYC-3,Streptomyces liliifuscus,GCF_016598615.1,Streptomyces liliifuscus,70.0,2,2,11347200,94,9726,181,10001
0,Streptomyces pratensis,S10,Streptomyces pratensis,GCF_016804005.1,Streptomyces pratensis,70.5,2,2,8281466,88,6704,237,7029
0,Streptomyces sp. HSG2,HSG2,Streptomyces sp. HSG2,GCF_016598575.1,Streptomyces sp. HSG2,71.5,1,1,5282528,87,4405,159,4651
0,Streptomyces sp. SN_593,SN-593,Streptomyces sp. SN_593,GCF_016756395.1,Streptomyces sp. SN-593,73.5,3,3,8972903,86,7127,241,7454
0,Streptomyces sp. XC 2026,XC 2026,Streptomyces sp. XC 2026,GCF_016605905.1,Streptomyces sp. XC 2026,72.0,1,1,5836896,74,5275,100,5449
0,Stutzerimonas balearica,FDAARGOS_1013,Stutzerimonas balearica,GCF_016599775.1,Stutzerimonas balearica,64.5,1,1,4411233,77,4021,85,4183
0,Succinivibrio dextrinosolvens,ASCUSBF53,Succinivibrio dextrinosolvens,GCF_016747875.1,Succinivibrio dextrinosolvens,39.0,2,2,2849946,94,2373,9,2476
0,Sulfitobacter mediterraneus,SC7-37,Sulfitobacter mediterraneus,GCF_016801755.1,Sulfitobacter mediterraneus,58.0,6,6,4046066,52,3873,26,3951
0,Sulfitobacter mediterraneus,SC1-11,Sulfitobacter mediterraneus,GCF_016801775.1,Sulfitobacter mediterraneus,58.5,5,5,4211149,52,4034,18,4104
0,Sutterella wadsworthensis,FDAARGOS_1159,Sutterella wadsworthensis,GCF_016724805.1,Sutterella wadsworthensis,55.0,1,1,3026517,82,2370,16,2468
0,Tamlana sp. s12,s12,Tamlana sp. s12,GCF_016767215.1,Tamlana sp. s12,35.0,1,1,3745241,57,3152,21,3230
0,Thermotomaculum hydrothermale,AC55,Thermotomaculum hydrothermale,GCF_016592575.1,Thermotomaculum hydrothermale,35.0,1,1,2317141,54,2081,26,2161
0,Thermus thermophilus,HB5018,Thermus thermophilus,GCF_016629545.1,Thermus thermophilus,69.0,5,5,2462681,58,2529,142,2729
0,Thermus thermophilus,HB5002,Thermus thermophilus,GCF_016865275.1,Thermus thermophilus,69.0,4,4,2166214,57,2250,64,2371
0,Thermus thermophilus,HB5008,Thermus thermophilus,GCF_016865295.1,Thermus thermophilus,69.0,3,3,2152244,57,2236,66,2359
0,Thiohalobacter sp. COW1,COW1,Thiohalobacter sp. COW1,GCF_016629505.1,Thiohalobacter sp. COW1,64.0,1,1,3567646,53,3309,30,3392
0,Thiothrix subterranea,Ku-5,Thiothrix subterranea,GCF_016772315.1,Thiothrix subterranea,51.0,4,4,4077558,62,3922,56,4040
0,Thomasclavelia ramosa,FDAARGOS_1105,Thomasclavelia ramosa,GCF_016728785.1,Thomasclavelia ramosa,31.0,1,1,3543719,80,3330,26,3436
0,Vibrio diabolicus,SLV18,Vibrio diabolicus,GCF_016812015.1,Vibrio diabolicus,44.5,4,4,5302819,169,4577,67,4813
0,Weizmannia coagulans,FDAARGOS_1160,Weizmannia coagulans,GCF_016724825.1,Weizmannia coagulans,46.5,1,1,3342828,120,3038,169,3327
0,Xanthobacter dioxanivorans,YN2,Xanthobacter dioxanivorans,GCF_016807805.1,Xanthobacter dioxanivorans,67.5,5,5,6650762,59,5987,305,6351
0,Xanthomonas citri pv. citri,DAR84832,Xanthomonas citri,GCF_016801615.1,Xanthomonas citri pv. citri,64.5,5,5,5385815,99,4408,169,4676
0,Xanthomonas citri pv. citri,DAR73886,Xanthomonas citri,GCF_016801635.1,Xanthomonas citri pv. citri,64.5,5,5,5371101,99,4402,169,4670
0,Xanthomonas citri pv. citri,DAR73889,Xanthomonas citri,GCF_016801655.1,Xanthomonas citri pv. citri,64.5,6,6,5596105,99,4604,196,4899
0,Xanthomonas citri pv. citri,DAR72029,Xanthomonas citri,GCF_016801675.1,Xanthomonas citri pv. citri,64.5,7,7,5550959,99,4531,202,4832
0,Xanthomonas citri pv. citri,DAR73909,Xanthomonas citri,GCF_016801695.1,Xanthomonas citri pv. citri,64.5,7,7,5552095,99,4490,265,4854
0,Yersinia enterocolitica,FDAARGOS_1082,Yersinia enterocolitica,GCF_016727765.1,Yersinia enterocolitica,47.0,1,1,4541280,108,3869,153,4130
0,Yersinia enterocolitica,FDAARGOS_1090,Yersinia enterocolitica,GCF_016727905.1,Yersinia enterocolitica,46.5,1,1,4593248,115,3933,111,4159
0,Acinetobacter baumannii,FDAARGOS_1360,Acinetobacter baumannii,GCF_016903135.1,Acinetobacter baumannii,38.5,3,3,4070121,95,3772,89,3956
0,Acinetobacter baumannii,FDAARGOS_1359,Acinetobacter baumannii,GCF_016903215.1,Acinetobacter baumannii,39.0,2,2,3898281,96,3557,70,3723
0,Acinetobacter baumannii,AB5075-VUB,Acinetobacter baumannii,GCF_016919505.2,Acinetobacter baumannii,39.0,4,4,4095694,96,3836,85,4017
0,Acinetobacter baumannii,AB5075-VUB-itrA::ISAba13,Acinetobacter baumannii,GCF_016919525.1,Acinetobacter baumannii,39.0,4,4,4114919,96,3847,99,4042
0,Acinetobacter baumannii,2018BJAB2,Acinetobacter baumannii,GCF_017096325.2,Acinetobacter baumannii,38.5,2,2,4046903,95,3766,66,3927
0,Acinetobacter baumannii,2014TJAB1,Acinetobacter baumannii,GCF_017096345.2,Acinetobacter baumannii,38.5,2,2,3986756,95,3626,107,3828
0,Acinetobacter baumannii,2018TJAB1,Acinetobacter baumannii,GCF_017096365.2,Acinetobacter baumannii,38.5,2,2,4030183,95,3711,82,3888
0,Acinetobacter baumannii,2016LNAB1,Acinetobacter baumannii,GCF_017096385.2,Acinetobacter baumannii,38.5,4,4,4117240,95,3843,83,4021
0,Acinetobacter baumannii,2018BJAB1,Acinetobacter baumannii,GCF_017096405.2,Acinetobacter baumannii,38.5,2,2,3995867,95,3676,91,3862
0,Acinetobacter baumannii,2014LNAB1,Acinetobacter baumannii,GCF_017096425.2,Acinetobacter baumannii,39.0,4,4,4231195,97,3796,252,4145
0,Acinetobacter baumannii,2016BJAB1,Acinetobacter baumannii,GCF_017098185.2,Acinetobacter baumannii,38.5,2,2,3981722,91,3664,98,3853
0,Acinetobacter baumannii,2014BJAB1,Acinetobacter baumannii,GCF_017098205.2,Acinetobacter baumannii,38.5,2,2,4147165,96,3853,101,4050
0,Acinetobacter baumannii,2018HBAB1,Acinetobacter baumannii,GCF_017098225.2,Acinetobacter baumannii,39.0,3,3,4224622,98,3929,96,4123
0,Acinetobacter baumannii,2018HLJAB2,Acinetobacter baumannii,GCF_017098245.2,Acinetobacter baumannii,38.5,2,2,4017174,94,3625,156,3875
0,Acinetobacter baumannii,2018HLJAB1,Acinetobacter baumannii,GCF_017098265.1,Acinetobacter baumannii,38.5,1,1,3939099,95,3577,95,3767
0,Acinetobacter calcoaceticus,FDAARGOS_1218,Acinetobacter calcoaceticus,GCF_016939475.1,Acinetobacter calcoaceticus,38.5,1,1,3915231,95,3536,48,3679
0,Acinetobacter indicus,LYS68A,Acinetobacter indicus,GCF_017132735.1,Acinetobacter indicus,45.5,1,1,3212811,106,2856,92,3054
0,Acinetobacter indicus,GXNN15X4,Acinetobacter indicus,GCF_017309425.1,Acinetobacter indicus,45.5,2,2,3045715,106,2707,94,2907
0,Acinetobacter indicus,GXNN62X4,Acinetobacter indicus,GCF_017309445.1,Acinetobacter indicus,46.0,1,1,3013505,107,2683,69,2859
0,Acinetobacter johnsonii,XY27,Acinetobacter johnsonii,GCF_017068175.1,Acinetobacter johnsonii,41.0,4,4,3631330,112,3368,142,3622
0,Acinetobacter pittii,FDAARGOS_1217,Acinetobacter pittii,GCF_016889305.1,Acinetobacter pittii,38.5,3,3,3957082,96,3645,98,3839
0,Acinetobacter pittii,FDAARGOS_1215,Acinetobacter pittii,GCF_016889345.1,Acinetobacter pittii,38.5,5,5,3889187,95,3511,63,3669
0,Acinetobacter pittii,FDAARGOS_1214,Acinetobacter pittii,GCF_016889825.1,Acinetobacter pittii,38.5,5,5,4098910,96,3766,89,3951
0,Acinetobacter pittii,FDAARGOS_1216,Acinetobacter pittii,GCF_016890065.1,Acinetobacter pittii,38.5,1,1,3928855,95,3575,44,3714
0,Aeromonas dhakensis,1706-28330,Aeromonas dhakensis,GCF_017310235.1,Aeromonas dhakensis,61.0,1,1,4933619,162,4359,53,4574
0,Aeromonas hydrophila,Brac6,Aeromonas hydrophila,GCF_017310195.1,Aeromonas hydrophila,61.0,1,1,4765114,151,4195,26,4372
0,Aeromonas hydrophila,OnP3.1,Aeromonas hydrophila,GCF_017310215.1,Aeromonas hydrophila,61.0,1,1,4766062,151,4194,25,4370
0,Aeromonas veronii,1708-29120,Aeromonas veronii,GCF_017310275.1,Aeromonas veronii,58.5,1,1,4500467,161,3926,35,4122
0,Alicyclobacillus mengziensis,S30H14,Alicyclobacillus mengziensis,GCF_017298635.1,Alicyclobacillus mengziensis,50.5,2,2,5293537,102,4758,62,4922
0,Amycolatopsis sp. FDAARGOS 1241,FDAARGOS_1241,Amycolatopsis sp. FDAARGOS 1241,GCF_016889705.1,Amycolatopsis sp. FDAARGOS 1241,70.5,2,2,9798102,72,9078,477,9627
0,Arcanobacterium phocisimile,DSM 26142,Arcanobacterium phocisimile,GCF_016904675.1,Arcanobacterium phocisimile,51.0,1,1,1988065,65,1683,39,1787
0,Archangium violaceum,SDU8,Archangium violaceum,GCF_016887565.1,Archangium violaceum,68.5,1,1,13213980,99,10312,200,10611
0,Bacillus altitudinis,1817,Bacillus altitudinis,GCF_017161205.1,Bacillus altitudinis,41.0,1,1,3729040,110,3701,25,3836
0,Bacillus sp. LJBS06,LJBS06,Bacillus sp. LJBS06,GCF_016924995.1,Bacillus sp. LJBS06,43.5,2,2,4237297,124,4118,105,4347
0,Bacillus sp. PDNC022,PDNC022,Bacillus sp. PDNC022,GCF_016919285.1,Bacillus sp. PDNC022,41.5,1,1,3822815,110,3766,34,3910
0,Bacillus subtilis,BIM B-569G,Bacillus subtilis,GCF_016894165.1,Bacillus subtilis,43.5,1,1,4080024,121,3984,98,4203
0,Bacillus velezensis,TB918,Bacillus velezensis,GCF_016888865.1,Bacillus velezensis,46.5,1,1,3979294,118,3750,62,3930
0,Bacillus velezensis,Sam8H1,Bacillus velezensis,GCF_016904925.1,Bacillus velezensis,46.0,2,2,4131713,126,3938,75,4139
0,Bacteroides caccae,FDAARGOS_1219,Bacteroides caccae,GCF_016889745.1,Bacteroides caccae,41.5,1,1,4570957,90,3532,69,3691
0,Bacteroides fragilis,FDAARGOS_1225,Bacteroides fragilis,GCF_016889925.1,Bacteroides fragilis,43.0,2,2,5248938,99,4193,58,4350
0,Bacteroides humanifaecis,KGMB07931,Bacteroides humanifaecis,GCF_017309675.2,Bacteroides humanifaecis,46.0,1,1,4240638,77,3341,70,3488
0,Bifidobacterium longum subsp. infantis,JCM 7009,Bifidobacterium longum,GCF_017299595.1,Bifidobacterium longum subsp. infantis,59.5,1,1,2673222,72,2220,96,2388
0,Bifidobacterium longum subsp. longum,KCTC 3128,Bifidobacterium longum,GCF_017132775.1,Bifidobacterium longum subsp. longum,60.0,1,1,2403825,96,1911,39,2046
0,Bifidobacterium longum subsp. suillum,JCM 19995,Bifidobacterium longum,GCF_017132755.1,Bifidobacterium longum subsp. suillum,59.5,1,1,2340054,70,1876,72,2018
0,Bordetella pertussis,FDAARGOS_1368,Bordetella pertussis,GCF_016903095.1,Bordetella pertussis,67.5,1,1,4105067,64,3636,245,3945
0,Bordetella pertussis,FDAARGOS_1369,Bordetella pertussis,GCF_016903175.1,Bordetella pertussis,67.5,1,1,4104031,64,3640,246,3950
0,Bordetella pertussis,FDAARGOS_1367,Bordetella pertussis,GCF_016904215.1,Bordetella pertussis,67.5,1,1,4105604,64,3628,251,3943
0,Bordetella pertussis,FDAARGOS_1365,Bordetella pertussis,GCF_016904355.1,Bordetella pertussis,67.5,1,1,4105080,64,3628,250,3942
0,Bordetella pertussis,FDAARGOS_1366,Bordetella pertussis,GCF_016904375.1,Bordetella pertussis,67.5,1,1,4105436,64,3628,250,3942
0,Brevundimonas sp. CS1,CS1,Brevundimonas sp. CS1,GCF_017086445.1,Brevundimonas sp. CS1,66.0,1,1,3300602,58,3164,30,3252
0,Burkholderia dolosa,FDAARGOS_1272,Burkholderia dolosa,GCF_016889205.1,Burkholderia dolosa,67.0,3,3,6409097,86,5624,105,5815
0,Burkholderia multivorans,P2Bm2011a,Burkholderia multivorans,GCF_017165175.1,Burkholderia multivorans,67.0,4,4,6705051,87,5861,107,6055
0,Burkholderia multivorans,P1Bm2015,Burkholderia multivorans,GCF_017165195.1,Burkholderia multivorans,67.0,3,3,6499180,88,5737,81,5906
0,Burkholderia multivorans,P1Bm2014,Burkholderia multivorans,GCF_017165475.1,Burkholderia multivorans,67.0,3,3,6497010,85,5741,78,5904
0,Burkholderia multivorans,P1Bm2012b,Burkholderia multivorans,GCF_017165495.1,Burkholderia multivorans,67.0,3,3,6495911,84,5739,76,5899
0,Burkholderia multivorans,P1Bm2011b,Burkholderia multivorans,GCF_017165515.1,Burkholderia multivorans,67.0,3,3,6496880,85,5739,78,5902
0,Burkholderia multivorans,P1Bm2011a,Burkholderia multivorans,GCF_017165535.1,Burkholderia multivorans,67.0,3,3,6498339,88,5730,94,5912
0,Burkholderia multivorans,P1Bm2009,Burkholderia multivorans,GCF_017165555.1,Burkholderia multivorans,67.0,4,4,6569085,88,5813,90,5991
0,Burkholderia sp. MS389,MS389,Burkholderia sp. MS389,GCF_016899425.1,Burkholderia sp. MS389,66.5,3,3,7746250,90,6823,85,6998
0,Burkholderia sp. MS455,MS455,Burkholderia sp. MS455,GCF_016899445.1,Burkholderia sp. MS455,66.0,4,4,8055789,90,6982,200,7272
0,Butyricimonas virosa,FDAARGOS_1229,Butyricimonas virosa,GCF_016889065.1,Butyricimonas virosa,42.0,1,1,4813143,76,3869,33,3978
0,Caballeronia sp. M1242,M1242,Caballeronia sp. M1242,GCF_017220215.1,Caballeronia sp. M1242,63.5,4,4,5755538,80,5124,71,5275
0,Chlamydia abortus,MRI-10/19,Chlamydia abortus,GCF_016903035.1,Chlamydia abortus,39.5,1,1,1144464,44,968,20,1032
0,Chromobacterium violaceum,FDAARGOS_1273,Chromobacterium violaceum,GCF_016890085.1,Chromobacterium violaceum,64.5,2,2,4808040,129,4396,37,4562
0,Chromobacterium violaceum,FDAARGOS_1274,Chromobacterium violaceum,GCF_016888985.1,Chromobacterium violaceum,64.5,2,2,4808040,129,4394,37,4560
0,Citrobacter freundii,CF49969,Citrobacter freundii,GCF_016939615.1,Citrobacter freundii,51.5,5,5,5485671,130,5113,160,5403
0,Citrobacter freundii,zone4,Citrobacter freundii,GCF_017086505.1,Citrobacter freundii,51.5,2,2,4983275,122,4583,64,4769
0,Clostridium botulinum,BKT2873,Clostridium botulinum,GCF_017100085.1,Clostridium botulinum,28.0,3,3,3137507,128,2852,38,3018
0,Coprococcus comes,FDAARGOS_1339,Coprococcus comes,GCF_016904155.1,Coprococcus comes,42.5,1,1,3373067,89,3114,70,3273
0,Corynebacterium amycolatum,FDAARGOS_1189,Corynebacterium amycolatum,GCF_016889425.1,Corynebacterium amycolatum,58.5,1,1,2474943,71,2076,22,2169
0,Corynebacterium glucuronolyticum,FDAARGOS_1190,Corynebacterium glucuronolyticum,GCF_016889225.1,Corynebacterium glucuronolyticum,59.0,1,1,2823217,68,2411,37,2516
0,Corynebacterium glucuronolyticum,FDAARGOS_1191,Corynebacterium glucuronolyticum,GCF_016889785.1,Corynebacterium glucuronolyticum,58.5,1,1,2886678,65,2477,50,2592
0,Corynebacterium kroppenstedtii,FDAARGOS_1192,Corynebacterium kroppenstedtii,GCF_016889365.1,Corynebacterium kroppenstedtii,57.0,1,1,2446807,58,2018,35,2111
0,Corynebacterium kroppenstedtii,FDAARGOS_1194,Corynebacterium kroppenstedtii,GCF_016889405.1,Corynebacterium kroppenstedtii,57.0,1,1,2511877,58,2066,25,2149
0,Corynebacterium macginleyi,FDAARGOS_1195,Corynebacterium macginleyi,GCF_016889465.1,Corynebacterium macginleyi,56.5,1,1,2493537,65,2214,118,2397
0,Corynebacterium minutissimum,FDAARGOS_1196,Corynebacterium minutissimum,GCF_016889765.1,Corynebacterium minutissimum,59.5,1,1,2725312,66,2485,27,2578
0,Corynebacterium sp. FDAARGOS 1242,FDAARGOS_1242,Corynebacterium sp. FDAARGOS 1242,GCF_016889985.1,Corynebacterium sp. FDAARGOS 1242,59.5,2,2,2774993,65,2511,40,2616
0,Corynebacterium striatum,FDAARGOS_1197,Corynebacterium striatum,GCF_016889445.1,Corynebacterium striatum,59.0,2,2,3004754,69,2638,123,2830
0,Cupriavidus oxalaticus,Ox1_mCherry,Cupriavidus oxalaticus,GCF_016894365.1,Cupriavidus oxalaticus,66.5,2,2,6697997,84,5904,96,6084
0,Cupriavidus oxalaticus,Ox1,Cupriavidus oxalaticus,GCF_016894385.1,Cupriavidus oxalaticus,66.5,2,2,6694750,84,5921,91,6096
0,Curtobacterium sp. 24E2,24E2,Curtobacterium sp. 24E2,GCF_016925595.1,Curtobacterium sp. 24E2,70.5,1,1,3805409,62,3224,545,3831
0,Dickeya solani,IPO2019,Dickeya solani,GCF_017161585.1,Dickeya solani,56.0,1,1,4919542,103,4119,64,4286
0,Dyadobacter sandarakinus,Q3-56,Dyadobacter sandarakinus,GCF_016894445.1,Dyadobacter sandarakinus,49.0,1,1,6071216,52,4967,21,5040
0,Ensifer sp. PDNC004,PDNC004,Ensifer sp. PDNC004,GCF_016919405.1,Ensifer sp. PDNC004,62.5,3,3,6778202,81,6288,94,6463
0,Enterobacter hormaechei,EC48293,Enterobacter hormaechei,GCF_016939555.1,Enterobacter hormaechei,54.5,5,5,5331528,114,4952,97,5163
0,Enterobacter hormaechei,RIVM_C034192,Enterobacter hormaechei,GCF_017161605.1,Enterobacter hormaechei,54.5,2,2,5074881,122,4675,81,4878
0,Enterobacter hormaechei,RIVM_C034177,Enterobacter hormaechei,GCF_017161725.1,Enterobacter hormaechei,54.5,2,2,5054991,116,4655,77,4848
0,Enterobacter hormaechei,RIVM_C019072,Enterobacter hormaechei,GCF_017161745.1,Enterobacter hormaechei,54.5,2,2,5052819,116,4651,78,4845
0,Enterobacter hormaechei,RIVM_C010068,Enterobacter hormaechei,GCF_017161765.1,Enterobacter hormaechei,55.0,2,2,4874140,116,4511,68,4695
0,Enterobacter hormaechei,RIVM_C017238,Enterobacter hormaechei,GCF_017161785.1,Enterobacter hormaechei,54.5,2,2,5023816,117,4628,81,4826
0,Enterobacter hormaechei,RIVM_C033144,Enterobacter hormaechei,GCF_017161805.1,Enterobacter hormaechei,54.5,2,2,5053658,116,4653,78,4847
0,Enterobacter hormaechei,RIVM_C019181,Enterobacter hormaechei,GCF_017161825.1,Enterobacter hormaechei,54.5,2,2,5021216,116,4623,79,4818
0,Enterobacter hormaechei,RIVM_C017834,Enterobacter hormaechei,GCF_017161845.1,Enterobacter hormaechei,54.5,2,2,5053669,116,4654,76,4846
0,Enterobacter hormaechei,RIVM_C012369,Enterobacter hormaechei,GCF_017161865.1,Enterobacter hormaechei,54.5,2,2,5021207,116,4625,78,4819
0,Enterobacter hormaechei,IR5283,Enterobacter hormaechei,GCF_017310485.1,Enterobacter hormaechei,55.0,4,4,4808700,118,4440,90,4648
0,Enterocloster bolteae,FDAARGOS_1231,Enterocloster bolteae,GCF_016889665.1,Enterocloster bolteae,49.0,2,2,6613968,94,5923,79,6096
0,Enterococcus faecalis,L13,Enterococcus faecalis,GCF_017280035.1,Enterococcus faecalis,37.5,1,1,2846366,80,2667,20,2767
0,Enterococcus faecalis,L18,Enterococcus faecalis,GCF_017280235.1,Enterococcus faecalis,37.5,2,2,2812497,79,2622,17,2718
0,Erwinia amylovora,17-2187,Erwinia amylovora,GCF_017161545.1,Erwinia amylovora,53.5,2,2,3832439,118,3271,92,3481
0,Erwinia amylovora,ATCC 15580,Erwinia amylovora,GCF_017161565.1,Erwinia amylovora,53.5,2,2,3835776,120,3251,123,3494
0,Escherichia albertii,Sample 167,Escherichia albertii,GCF_016904755.1,Escherichia albertii,49.5,2,2,4631903,124,4260,90,4474
0,Escherichia albertii,Sample 169,Escherichia albertii,GCF_016904715.2,Escherichia albertii,50.0,3,3,5050051,123,4676,243,5042
0,Escherichia albertii,Sample 170,Escherichia albertii,GCF_016904735.2,Escherichia albertii,50.0,3,3,5050052,123,4675,245,5043
0,Escherichia albertii,Sample 168,Escherichia albertii,GCF_016904775.2,Escherichia albertii,49.5,3,3,4906223,123,4494,290,4907
0,Escherichia albertii,Sample 166,Escherichia albertii,GCF_016904795.1,Escherichia albertii,49.5,4,4,5111119,123,4603,377,5103
0,Escherichia albertii,Sample 165,Escherichia albertii,GCF_016904815.1,Escherichia albertii,49.0,5,5,5318295,124,4827,350,5301
0,Escherichia coli,FDAARGOS_1260,Escherichia coli,GCF_016888925.1,Escherichia coli,50.5,2,2,5180264,116,4738,238,5092
0,Escherichia coli,FDAARGOS_1261,Escherichia coli,GCF_016888965.1,Escherichia coli,50.0,1,1,5050101,115,4529,187,4831
0,Escherichia coli,FDAARGOS_1251,Escherichia coli,GCF_016889025.1,Escherichia coli,50.0,2,2,5237386,113,4741,212,5066
0,Escherichia coli,FDAARGOS_1255,Escherichia coli,GCF_016889045.1,Escherichia coli,50.5,3,3,5063498,116,4572,197,4885
0,Escherichia coli,FDAARGOS_1256,Escherichia coli,GCF_016889085.1,Escherichia coli,50.0,2,2,5192539,114,4701,189,5004
0,Escherichia coli,FDAARGOS_1254,Escherichia coli,GCF_016889105.1,Escherichia coli,50.5,6,6,4892135,114,4510,148,4772
0,Escherichia coli,FDAARGOS_1249,Escherichia coli,GCF_016889125.1,Escherichia coli,50.5,11,11,5232296,121,4731,279,5131
0,Escherichia coli,FDAARGOS_1257,Escherichia coli,GCF_016889185.1,Escherichia coli,50.0,2,2,5311839,116,4819,197,5132
0,Escherichia coli,FDAARGOS_1264,Escherichia coli,GCF_016889265.1,Escherichia coli,50.5,7,7,5041884,113,4607,193,4913
0,Escherichia coli,FDAARGOS_1258,Escherichia coli,GCF_016889325.1,Escherichia coli,50.5,2,2,5231008,115,4729,208,5052
0,Escherichia coli,E41,Escherichia coli,GCF_016889485.1,Escherichia coli,50.5,1,1,4861324,118,4478,225,4821
0,Escherichia coli,ECY44,Escherichia coli,GCF_016889505.1,Escherichia coli,50.0,5,5,5301216,121,4875,215,5211
0,Escherichia coli,EA7,Escherichia coli,GCF_016889525.1,Escherichia coli,50.5,2,2,4697386,127,4278,185,4590
0,Escherichia coli,EA2,Escherichia coli,GCF_016889545.1,Escherichia coli,50.5,2,2,4882325,116,4477,153,4746
0,Escherichia coli,EA13,Escherichia coli,GCF_016889565.1,Escherichia coli,50.5,5,5,5084006,125,4625,221,4971
0,Escherichia coli,FDAARGOS_1268,Escherichia coli,GCF_016889605.1,Escherichia coli,50.5,3,3,5008697,119,4597,96,4812
0,Escherichia coli,FDAARGOS_1262,Escherichia coli,GCF_016889625.1,Escherichia coli,50.0,1,1,5225337,115,4713,211,5039
0,Escherichia coli,FDAARGOS_1267,Escherichia coli,GCF_016889685.1,Escherichia coli,50.0,4,4,5434756,115,4990,224,5329
0,Escherichia coli,FDAARGOS_1252,Escherichia coli,GCF_016889725.1,Escherichia coli,50.5,4,4,5438144,118,4925,271,5314
0,Escherichia coli,FDAARGOS_1248,Escherichia coli,GCF_016889845.1,Escherichia coli,50.5,7,7,5066485,122,4610,228,4960
0,Escherichia coli,FDAARGOS_1253,Escherichia coli,GCF_016889865.1,Escherichia coli,50.5,9,9,4695402,113,4310,122,4545
0,Escherichia coli,FDAARGOS_1259,Escherichia coli,GCF_016889905.1,Escherichia coli,50.5,4,4,5224343,114,4784,239,5137
0,Escherichia coli,FDAARGOS_1250,Escherichia coli,GCF_016890005.1,Escherichia coli,50.5,11,11,5058561,119,4657,235,5011
0,Escherichia coli,FDAARGOS_1265,Escherichia coli,GCF_016890045.1,Escherichia coli,50.5,3,3,5425278,113,5016,271,5400
0,Escherichia coli,FDAARGOS_1266,Escherichia coli,GCF_016890105.1,Escherichia coli,50.5,4,4,5215978,113,4834,199,5146
0,Escherichia coli,FDAARGOS_1282,Escherichia coli,GCF_016903275.1,Escherichia coli,50.5,9,9,5282986,124,4848,180,5152
0,Escherichia coli,FDAARGOS_1289,Escherichia coli,GCF_016903315.1,Escherichia coli,50.5,8,8,5526202,123,5114,182,5419
0,Escherichia coli,FDAARGOS_1295,Escherichia coli,GCF_016903335.1,Escherichia coli,50.5,2,2,5142344,117,4705,183,5005
